link,title
https://www.youtube.com/watch?v=TiFKXbs5bEo,Discrete Random Variables (3 of 3: Example question)
https://www.youtube.com/watch?v=yCTTqzot3pE,Discrete Random Variables (2 of 3: Notation)
https://www.youtube.com/watch?v=Lkom2Q13SaQ,Discrete Random Variables (1 of 3: Introduction)
https://www.youtube.com/watch?v=gTSTrCJ0LDg,Differentiating Inverse Trigonometric Functions (6 of 6: Cosine)
https://www.youtube.com/watch?v=UTV7nXSuheI,Differentiating Inverse Trigonometric Functions (5 of 6: Graphing inverse sine derivative)
https://www.youtube.com/watch?v=FKLxundGihQ,Differentiating Inverse Trigonometric Functions (4 of 6: Proof for inverse sine)
https://www.youtube.com/watch?v=0_a6-zbhJDs,Differentiating Inverse Trigonometric Functions (3 of 6: Examples + graphing the derivative)
https://www.youtube.com/watch?v=b6qNQJi4SuM,Differentiating Inverse Trigonometric Functions (2 of 6: Proof for inverse tan)
https://www.youtube.com/watch?v=u_FOF05IuoM,Differentiating Inverse Trigonometric Functions (1 of 6: Laying foundations)
https://www.youtube.com/watch?v=rTPoXiQHI6M,Normal Approximation to Binomial Distribution (example question)
https://www.youtube.com/watch?v=nb-yAvL3wSQ,Statistical Proportions (2 of 2: Basic example)
https://www.youtube.com/watch?v=ueXB7XUVNUs,Statistical Proportions (1 of 2: What are they?)
https://www.youtube.com/watch?v=Nhi3KciPGO8,Independent Events (2 of 2: Overlapping situations)
https://www.youtube.com/watch?v=uTdMans65jc,Independent Events (1 of 2: Thinking symbolically)
https://www.youtube.com/watch?v=yVB5-Uxs5gg,Conditional Probability (4 of 4: Determining reduced sample space)
https://www.youtube.com/watch?v=SKx4KxtcBz0,Conditional Probability (3 of 4: Defective light bulbs)
https://www.youtube.com/watch?v=cB9NmCJgD8o,Conditional Probability (2 of 4: Introductory example)
https://www.youtube.com/watch?v=Kf6vht0-Boc,Conditional Probability (1 of 4: Establishing foundations)
https://www.youtube.com/watch?v=I9DafFuy2Ps,Teach NSW PodCast with Eddie Woo (excerpt)
https://www.youtube.com/watch?v=A8hZXNvzRRE,Happy Pi Day!
https://www.youtube.com/watch?v=kFl9vAvRhKM,Ask Me Anything!
https://www.youtube.com/watch?v=cL-gAwpMNPQ,🇺🇸 I'm visiting the United States!
https://www.youtube.com/watch?v=bSO_7yunfV8,What if I feel like mathematics isn’t for me? Eddie Woo on the Solutionists
